#SampleID	BarcodeSequence	LinkerPrimerSequence	ATTRIBUTE_sample_type_group5	ATTRIBUTE_superfood	ATTRIBUTE_sample_type_group4	organic	ATTRIBUTE_family_genus	gluten_free	filename	packaging	presample_ethanol_weight	botanical_genus	ATTRIBUTE_botanical_anatomy	final_ethanol_weight	gmo	sample_in_tube_ethanol_weight	sample_type_group6	ATTRIBUTE_GNPSDefaultGroup
72475_1x_BC9_01_17418	GATACA	GATACA	garlic	superfood	vegetable	yes	Amaryllidaceae	no	72475_1x_BC9_01_17418.mzXML	none	1.9269	allium	stem	2.0369	no	0.11	garlic	Not Mapped
72497_1x_BD7_01_17434	GATACA	GATACA	melon	non_superfood	pepo	no	Cucurbitaceae	yes	72497_1x_BD7_01_17434.mzXML	none	1.9243	Cucumis	fruit	2.1797	no	0.2554	galia	G1
72500_1x_BG3_01_17471	GATACA	GATACA	apple	non_superfood	pome	yes	Rosaceae	yes	72500_1x_BG3_01_17471.mzXML	glass	1.95	Malus	fruit	2.3257	no	0.3757	apple	G1
72504_1x_BH8_01_17502	GATACA	GATACA	fig	non_superfood	multifruit	yes	Moraceae	yes	72504_1x_BH8_01_17502.mzXML	plastic 	1.9545	ficus	fruit	2.1733	no	0.2188	turkish fig	G1
72537_1x_BG5_01_17486	GATACA	GATACA	tomato	non_superfood	berry	yes	Solanaceae	no	72537_1x_BG5_01_17486.mzXML	plastic	1.9385	Solanum	fruit	2.1044	no	0.1659	orange cherry tomato	Not Mapped
72538_1x_BB6_01_17402	GATACA	GATACA	cabbage	non_superfood	vegetable	no	Brassicaceae	yes	72538_1x_BB6_01_17402.mzXML	none	1.9421	brassica	leaf	2.0412	no	0.0991	napa cabbage	G1
72540_1x_BB8_01_17404	GATACA	GATACA	melon	non_superfood	pepo	no	Cucurbitaceae	yes	72540_1x_BB8_01_17404.mzXML	none	1.9487	Citrullus	fruit	2.4881	no	0.5394	watermelon	G1
72657_1x_BE5_01_17445	GATACA	GATACA	pear	non_superfood	pome	yes	Rosaceae	yes	72657_1x_BE5_01_17445.mzXML	not applicable	1.9685	Pyrus	fruit	2.3697	no	0.4012	barlett pear	G1
72665_5x_RD5_01_17476	GATACA	GATACA	cherry	non_superfood	drupe	yes	Rosaceae	yes	72665_5x_RD5_01_17476.mzXML	not applicable	1.9592	Prunus	fruit	2.1237	no	0.1645	cherry	G1
72666_1x_BC5_01_17414	GATACA	GATACA	apricot	non_superfood	drupe	yes	Rosaceae	yes	72666_1x_BC5_01_17414.mzXML	not applicable	1.971	Prunus	fruit	2.2478	no	0.2768	apricot	G1
72671_1x_BD12_01_17439	GATACA	GATACA	basil	non_superfood	herb/spice	yes	Lamiaceae	yes	72671_1x_BD12_01_17439.mzXML	none	1.9678	ocimum	leaf	1.9453	no	not applicable	basil	G1
72673_1x_BE7_01_17447	GATACA	GATACA	orange	non_superfood	citrus	no	Rutaceae	yes	72673_1x_BE7_01_17447.mzXML	none	1.9714	citrus	fruit	2.0574	no	0.086	orange	G1
72674_1x_BG4_01_17472	GATACA	GATACA	orange	non_superfood	citrus	no	Rutaceae	yes	72674_1x_BG4_01_17472.mzXML	none	1.9679	citrus	fruit	2.2773	no	0.3094	orange	Not Mapped
72675_1x_BC3_01_17412	GATACA	GATACA	grape	superfood	berry	no	Vitaceae	yes	72675_1x_BC3_01_17412.mzXML	plastic	1.9604	Vitis	fruit	2.4069	no	0.4465	grape	G1
72684_1x_BF5_01_17479	GATACA	GATACA	lettuce	non_superfood	vegetable	not collected	Asteraceae	yes	72684_1x_BF5_01_17479.mzXML	not collected	1.9672	lactuca	leaf	2.0439	no	0.0767	lettuce	G1
72790_5x_RG6_01_17487	GATACA	GATACA	blueberry	superfood	berry	yes	ericacee	yes	72790_5x_RG6_01_17487.mzXML	plastic	1.9666	vaccinium	fruit	2.0826	no	0.116	blueberry	G1
72798_1x_BH4_01_17498	GATACA	GATACA	spinach	non_superfood	vegetable	yes	Amaranthaceae	yes	72798_1x_BH4_01_17498.mzXML	plastic	1.9603	spinacia	leaf	2.0003	no	0.04	spinach	G1
72799_1x_BF7_01_17460	GATACA	GATACA	kale	superfood	vegetable	yes	Brassicaceae	yes	72799_1x_BF7_01_17460.mzXML	plastic	1.9515	brassica	leaf	1.9662	no	0.0147	kale	G1
72802_1x_BD11_01_17438	GATACA	GATACA	pepper	non_superfood	berry	no	Solanaceae	yes	72802_1x_BD11_01_17438.mzXML	none	1.9733	capsicum	fruit	2.2348	no	0.2615	red bell pepper	G1
73714_1x_BA9_01_17392	GATACA	GATACA	grape	non_superfood	berry	not collected	Vitaceae	yes	73714_1x_BA9_01_17392.mzXML	none	1.8974	Vitis	fruit	2.11918	no	0.22178	green grape	G1
73730_1x_BB9_01_17405	GATACA	GATACA	mango	non_superfood	drupe	yes	Anacardiaceae	yes	73730_1x_BB9_01_17405.mzXML	none	1.9347	Mangifera	fruit	2.1109	no	0.1762	mango	G1
73971_1x_BF4_01_17478	GATACA	GATACA	lettuce	non_superfood	vegetable	no	Asteraceae	yes	73971_1x_BF4_01_17478.mzXML	styrofoam	1.9644	lactuca	leaf	2.0658	no	0.1014	iceberg lettuce	G1
73980_1x_BB10_01_17406	GATACA	GATACA	fig	non_superfood	multifruit	yes	Moraceae	yes	73980_1x_BB10_01_17406.mzXML	none	1.959	ficus	fruit	2.0971	no	0.1381	fig	G1
73981_1x_BA10_01_17393	GATACA	GATACA	rosemary	non_superfood	herb/spice	yes	Lamiaceae	yes	73981_1x_BA10_01_17393.mzXML	none	1.9713	Rosmarinus	leaf	1.9825	no	0.0112	rosemary	G1
73982_1x_BG7_01_17488	GATACA	GATACA	lavender	non_superfood	flower	yes	Lamiaceae	yes	73982_1x_BG7_01_17488.mzXML	none	1.9658	lavendula	flower	1.9787	no	0.0129	lavender	G1
73989_5x_RH6_01_17500	GATACA	GATACA	blueberry	superfood	berry	no	ericacee	yes	73989_5x_RH6_01_17500.mzXML	plastic	1.9631	vaccinium	fruit	2.224	no	0.2609	blueberry	G1
73990_1x_BH7_01_17517	GATACA	GATACA	tomato	non_superfood	berry	not collected	Solanaceae	yes	73990_1x_BH7_01_17517.mzXML	none	1.9758	solanum	fruit	2.1047	no	0.1289	cherry tomato	G1
73996_1x_BG8_01_17489	GATACA	GATACA	kohlrabi	non_superfood	vegetable	not collected	Brassicaceae	yes	73996_1x_BG8_01_17489.mzXML	none	1.9639	brassica	stem	2.1281	no	0.1642	kohlrabi	G1
74003_1x_BA2_01_17385	GATACA	GATACA	strawberry	superfood	pseudocarp	not collected	Rosaceae	yes	74003_1x_BA2_01_17385.mzXML	none	1.969	fragaria	fruit	2.1602	no	0.1912	strawberry	G1
74004_1x_BD2_01_17474	GATACA	GATACA	onion	non_superfood	vegetable	no	Amaryllidaceae	yes	74004_1x_BD2_01_17474.mzXML	none	1.9724	allium	bulb	2.0617	no	0.0893	white onion	G1
74009_5x_RC2_01_17411	GATACA	GATACA	strawberry	superfood	pseudocarp	not collected	Rosaceae	yes	74009_5x_RC2_01_17411.mzXML	none	1.9525	fragaria	fruit	2.124	no	0.1715	strawberry	G1
74011_1x_BF2_01_17455	GATACA	GATACA	asparagus	non_superfood	vegetable	not collected	Asparagaceae	yes	74011_1x_BF2_01_17455.mzXML	none	1.9723	asparagus	flower	2.377	no	0.4047	white asparagus	G1
